reduced_separation,g_ij,component_pair
2.391629330586176,1.1897746360582304,g22
2.4081191917071942,1.1498902704302942,g22
2.434791970919421,1.0812876133943732,g22
2.486135625620328,1.006575269795913,g22
2.522583541756595,0.9642201644851989,g22
2.55898397444491,0.9194532234700983,g22
2.607201995453564,0.864635514117114,g22
2.659645965539587,0.8386053842670438,g22
2.7121767300785127,0.8265086572564266,g22
2.764777719220243,0.8256853198159138,g22
2.81746786993632,0.8391753871104757,g22
2.8702243000527954,0.8633055074824387,g22
2.9230592396971247,0.9000390240591809,g22
2.966343171207855,0.9389783611633629,g22
3.012610008260748,0.9769419076855748,g22
3.0603776970597822,0.9999320223706736,g22
3.113919386838229,1.0221674110686352,g22
3.1678263037292913,1.0390563842073668,g22
3.2204310013612814,1.0388283830699936,g22
3.27298527930654,1.0305063415558835,g22
3.325516469363725,1.0184779244098374,g22
3.3773661557641823,0.9994095197641939,g22
3.4305065001019974,0.9828066036079992,g22
3.4830491274888216,0.9726142591131777,g22
3.535628134338485,0.9682620310530883,g22
3.588246876891037,0.9702887078297358,g22
3.640858044654971,0.9710993785403943,g22
3.6935063762255576,0.9778760790123107,g22
3.746095924280314,0.9752160657429605,g22
3.798694940820841,0.9740760600560958,g22
3.851297508043533,0.9735060572126639,g22
3.9039107273127183,0.9746460628995282,g22
3.956541699992724,0.9786360828035536,g22
4.00915610282263,0.9799660894382285,g22
4.061765613601555,0.9805107588219526,g22
4.114363604389457,0.979206085646986,g22
4.166969722294313,0.979206085646986,g22
4.219586582421718,0.9809305704399729,g22
4.272195450696249,0.9813720964520285,g22
4.32479517737321,0.9803460913338502,g22
4.3774008443977905,0.9802737100203984,g22
4.43002611344232,0.98334810630926,g22
4.482630179841927,0.9830187713330543,g22
4.53523266816057,0.9824361017597685,g22
4.587844703869033,0.9833861064988221,g22
4.640442773560984,0.9820941000537089,g22
4.69304392051081,0.9812960960729038,g22
4.745654772658552,0.9820560998641468,g22
4.798260890563409,0.9820560998641468,g22
4.8508700857261395,0.9825501023284549,g22
4.903474625550034,0.9822967677313743,g22
4.956084215233007,0.9828541038449523,g22
